ldl_statin_group_f,sex_cat,hscrp_high,se
"LDL<e2><89><a4>70, Statin",Male,0.235123936204115,0.03430938081025577
"LDL<e2><89><a4>70, No Statin",Male,0.09731629316547334,0.01950539776509655
"LDL 70-130, Statin",Male,0.18018487363718896,0.021395346365286314
"LDL 70-130, No Statin",Male,0.14923713739571626,0.008706207911612343
"LDL>130, Statin",Male,0.20403183325875712,0.04878829747702915
"LDL>130, No Statin",Male,0.17455227835540496,0.014530506309026511
"LDL<e2><89><a4>70, Statin",Female,0.2086865217969104,0.0440080208970022
"LDL<e2><89><a4>70, No Statin",Female,0.1831670095095861,0.027279833246538817
"LDL 70-130, Statin",Female,0.22483616493731043,0.02571621715035802
"LDL 70-130, No Statin",Female,0.20167199889212142,0.011164288342344416
"LDL>130, Statin",Female,0.3203881497608733,0.05875851764578906
"LDL>130, No Statin",Female,0.22035415054182986,0.016560580088348854
