category,rir,se,subgroup
Male,0.23748553014856197,0.03450117413942216,Sex
Female,0.19200651895461263,0.04471393442521232,Sex
20-39,0.026627999474164003,0.028474206481448782,Age
40-49,0.10496338066025418,0.0526533603282977,Age
50-59,0.46837019590828805,0.0986276245049216,Age
60-69,0.22684557045259235,0.05123665605945996,Age
70+,0.1817580518771116,0.030275468875939248,Age
Mexican American,0.23490258550562332,0.0647169352306682,Race
Other Hispanic,0.2905519680761421,0.07278615347576516,Race
Non-Hispanic White,0.20401944402511563,0.03852792621718265,Race
Non-Hispanic Black,0.29418318486852324,0.046033447523966785,Race
Other/Multi-racial,0.24204656175050238,0.08441531976177809,Race
